"deployment","start_date","start_time","end_date","end_time"
"NEFSC_MA-RI_202205_NS05","05/30/2022","11:25:00","11/09/2022","21:42:00"
"NEFSC_MA-RI_202211_COX01","11/03/2022","18:16:00","02/02/2023","15:28:00"
"NEFSC_MA-RI_202211_COX03","11/03/2022","16:39:00","12/17/2022","17:22:00"
"NEFSC_MA-RI_202211_NS01","11/09/2022","13:58:00","04/14/2023","15:45:00"
"NEFSC_MA-RI_202211_NS02","11/09/2022","20:10:00","04/12/2023","12:47:00"
"NEFSC_MA-RI_202211_NS04","11/09/2022","16:24:00","04/13/2023","10:11:00"
"NEFSC_MA-RI_202211_NS05","11/09/2022","22:05:00","04/13/2023","14:29:00"
"NEFSC_MA-RI_202211_NS06","11/10/2022","00:09:00","02/06/2023","07:16:00"
"NEFSC_MA-RI_202211_NS07","11/10/2022","01:45:00","04/14/2023","13:45:00"
"NEFSC_MA-RI_202211_NS08","11/09/2022","11:31:00","04/14/2023","18:04:00"
"NEFSC_MA-RI_202211_NS09","11/09/2022","09:36:00","04/12/2023","20:07:00"
"NEFSC_MA-RI_202302_COX01","02/02/2023","16:06:00","04/15/2023","13:24:00"
"NEFSC_MA-RI_202302_COX03","02/02/2023","14:42:00","04/15/2023","15:09:00"
"NEFSC_MA-RI_202304_COX01","04/15/2023","13:46:00","09/07/2023","23:59:00"
"NEFSC_MA-RI_202304_COX03","04/15/2023","15:36:00","09/08/2023","10:14:00"
"NEFSC_MA-RI_202304_NS01","04/14/2023","16:17:00","08/27/2023","23:59:00"
"NEFSC_MA-RI_202304_NS02","04/14/2023","10:21:00","09/07/2023","12:55:00"
"NEFSC_MA-RI_202304_NS03","04/14/2023","12:19:00","09/06/2023","21:30:00"
"NEFSC_MA-RI_202304_NS05","04/13/2023","15:00:00","09/07/2023","10:23:00"
"NEFSC_MA-RI_202304_NS06","04/13/2023","22:09:00","09/07/2023","14:52:00"
"NEFSC_MA-RI_202304_NS07","04/14/2023","14:09:00","09/07/2023","00:22:00"
"NEFSC_MA-RI_202304_NS08","04/14/2023","18:30:00","09/04/2023","23:59:00"
"NEFSC_MA-RI_202304_NS10","04/12/2023","22:57:00","09/06/2023","16:52:00"
"NEFSC_MA-RI_202304_NS12","04/14/2023","19:50:00","09/07/2023","19:08:00"
"NEFSC_MA-RI_202304_NS13","04/14/2023","21:06:00","09/07/2023","21:15:00"
"NEFSC_MA-RI_202309_COX01","09/08/2023","13:17:00","02/02/2024","23:59:00"
"NEFSC_MA-RI_202309_COX02-PWN02","09/08/2023","00:29:00","02/03/2024","20:27:00"
"NEFSC_MA-RI_202309_COX03","09/08/2023","10:48:00","02/03/2024","17:14:00"
"NEFSC_MA-RI_202309_NS01","09/06/2023","19:32:00","12/19/2023","11:40:00"
"NEFSC-MA-RI_202309_NS03","09/06/2023","21:50:00","09/19/2023","12:26:00"
"NEFSC_MA-RI_202309_NS04","09/06/2023","15:24:00","02/01/2024","17:37:00"
"NEFSC_MA-RI_202309_NS06","09/07/2023","15:34:00","01/31/2024","21:35:00"
"NEFSC_MA-RI_202309_NS07","09/07/2023","00:23:00","10/18/2023","13:42:00"
"NEFSC_MA-RI_202309_NS08","09/05/2023","23:36:00","02/02/2024","16:23:00"
"NEFSC_MA-RI_202309_NS09","09/06/2023","02:13:00","03/03/2024","05:33:00"
"NEFSC_MA-RI_202309_NS12","09/07/2023","19:36:00","02/02/2024","11:53:00"
"NEFSC_MA-RI_202309_NS13","09/07/2023","21:40:00","02/02/2024","13:51:00"
"NEFSC_MA-RI_202402_COX01","02/03/2024","14:27:00","07/10/2024","18:02:00"
"NEFSC_MA-RI_202402_COX02-PWN02","02/03/2024","20:50:00","07/10/2024","21:36:00"
"NEFSC_MA-RI_202402_COX03","02/03/2024","17:27:00","07/03/2024","00:28:00"
"NEFSC_MA-RI_202402_NS01","02/02/2024","18:54:00","07/10/2024","08:39:00"
"NEFSC_MA-RI_202401_NS02","01/31/2024","19:32:00","04/20/2024","00:41:00"
"NEFSC_MA-RI_202402_NS03","02/01/2024","15:06:00","07/13/2024","17:48:00"
"NEFSC_MA-RI_202402_NS04","02/01/2024","17:48:00","07/13/2024","18:15:00"
"NEFSC_MA-RI_202401_NS05","01/31/2024","16:06:00","07/10/2024","03:40:00"
"NEFSC_MA-RI_202401_NS06","01/31/2024","21:46:00","07/13/2024","22:47:00"
"NEFSC_MA-RI_202402_NS07","02/01/2024","00:41:00","07/13/2024","15:29:00"
"NEFSC_MA-RI_202402_NS08","02/02/2024","16:32:00","07/10/2024","22:56:00"
"NEFSC_MA-RI_202402_NS10","02/01/2024","20:44:00","06/03/2024","00:16:00"
"NEFSC_MA-RI_202402_NS12","02/02/2024","12:09:00","07/12/2024","23:11:00"
"NEFSC_MA-RI_202402_NS13","02/02/2024","14:07:00","07/12/2024","21:05:00"
"NEFSC_MA-RI_202402_PWN01","02/03/2024","19:06:00","07/12/2024","19:25:00"
"NEFSC_MA-RI_202402_PWN03","02/03/2024","13:07:00","07/10/2024","16:36:00"
"NEFSC_MA-RI_202402_PWN04","02/03/2024","16:03:00","07/12/2024","14:27:00"
"NEFSC_MA-RI_202402_PWN05","02/03/2024","21:54:00","04/23/2024","18:12:00"
"NEFSC_MA-RI_202402_PWN06","02/03/2024","23:04:00","07/10/2024","19:25:00"
"NEFSC_MA-RI_202402_PWN08","02/04/2024","02:20:00","07/06/2024","03:45:00"
"NEFSC_MA-RI_202407_ COX01","07/10/2024","18:14:00","12/03/2024","18:52:00"
"NEFSC_MA-RI_202407_ COX02-PWN02","07/10/2024","22:13:00","12/03/2024","15:30:00"
"NEFSC_MA-RI_202407_ COX03","07/12/2024","17:36:00","12/13/2024","18:47:00"
"NEFSC_MA-RI_202407_ NS03","07/13/2024","18:11:00","09/04/2024","08:41:00"
"NEFSC_MA-RI_202407_ NS04","07/14/2024","16:20:00","12/14/2024","18:40:00"
"NEFSC_MA-RI_202407_ NS06","07/13/2024","23:10:00","12/16/2024","18:30:00"
"NEFSC_MA-RI_202407_ NS07","07/13/2024","15:53:00","12/14/2024","13:44:00"
"NEFSC_MA-RI_202407_ NS12","07/12/2024","23:33:00","12/14/2024","11:55:00"
"NEFSC_MA-RI_202407_ NS13","07/12/2024","21:37:00","10/17/2024","01:28:00"
"NEFSC_MA-RI_202407_ PWN01","07/12/2024","19:49:00","12/03/2024","13:56:00"
"NEFSC_MA-RI_202407_ PWN08","07/12/2024","16:15:00","12/04/2024","18:03:00"
"NEFSC_MA-RI_202412_COX01","12/03/2024","19:07:00","05/05/2025","18:37:00"
"NEFSC_MA-RI_202412_COX02 -PWN02","12/03/2024","15:56:00","05/05/2025","00:00:00"
"NEFSC_MA-RI_202412_COX03","12/13/2024","19:27:00","05/07/2025","11:10:00"
"NEFSC_MA-RI_202412_NS02","12/16/2024","16:26:00","05/07/2025","23:06:00"
"NEFSC_MA-RI_202412_NS03","12/14/2024","00:12:00","05/07/2025","21:04:00"
"NEFSC_MA-RI_202412_NS04","12/14/2024","19:04:00","05/08/2025","18:45:00"
"NEFSC_MA-RI_202412_NS05","12/16/2024","14:08:00","05/08/2025","10:03:00"
"NEFSC_MA-RI_202412_NS06","12/16/2024","18:51:00","05/08/2025","13:51:00"
"NEFSC_MA-RI_202412_NS07","12/14/2024","14:06:00","05/07/2025","18:18:00"
"NEFSC_MA-RI_202412_NS08","12/04/2024","16:24:00","05/07/2025","15:13:00"
"NEFSC_MA-RI_202412_NS12","12/14/2024","12:16:00","05/05/2025","09:56:00"
"NEFSC_MA-RI_202412_NS13","12/03/2024","12:23:00","04/29/2025","07:51:00"
"NEFSC_MA-RI_202412_PWN01","12/03/2024","14:20:00","05/05/2025","14:39:00"
"NEFSC_MA-RI_202412_PWN08","12/04/2024","18:26:00","05/03/2025","16:36:00"
"NEFSC_MA-RI_202505_COX02-PWN02",NA,NA,NA,NA
"NEFSC_MA-RI_202505_COX03",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS02",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS04",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS05",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS06",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS08",NA,NA,NA,NA
"NEFSC_MA-RI_202505_NS12",NA,NA,NA,NA
"NEFSC_MA-RI_202505_PWN03",NA,NA,NA,NA
"NEFSC_MA-RI_202505_PWN08",NA,NA,NA,NA
"NEFSC_VA_202404_ES02","04/09/2024","00:00:00","09/30/2024","16:49:00"
"NEFSC_VA_202405_CB02","05/22/2024","15:09:00","10/16/2024","02:03:00"
"NEFSC_VA_202405_CB04","05/22/2024","13:56:00","10/15/2024","05:17:00"
"NEFSC_VA_202409_ES02",NA,NA,"03/30/2025","05:03:00"
"NEFSC_VA_202411_CB02","11/08/2024","18:07:00","04/06/2025","00:31:00"
"NEFSC_VA_202411_CB04","11/08/2024","16:31:00","04/06/2025","08:50:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT001","08/26/2025","13:21:00","09/12/2025","18:10:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT002","08/26/2025","19:03:00","09/12/2025","23:00:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT003","08/27/2025","01:16:00","09/13/2025","02:07:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT004","08/27/2025","09:30:00","09/14/2025","05:34:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT005","08/27/2025","16:35:00","09/14/2025","20:56:00"
"NEFSC_NE-OFFSHORE_202508_DRIFT007","08/28/2025","02:15:00","09/14/2025","17:02:00"
